task_id,mae,nmae,da,status,horizon
task_000,193.3666665395101,0.7661625832540423,1.0,success,24
task_001,4470.186676432291,1.3448764567842295,0.041666666666666664,success,24
task_002,5539.805013020833,0.8220905284590646,0.6666666666666666,success,24
task_003,3133.1175130208335,0.5833993462853887,0.375,success,24
task_004,1239.6783447265625,0.4590389671522855,0.9583333333333334,success,24
task_005,5195.1887613932295,0.8965045145954559,0.5,success,24
task_006,6.4375,0.43338008415147267,0.7727272727272727,success,24
task_007,292.8229166666667,0.18944892608991598,0.9166666666666666,success,24
task_008,113.82791137695312,0.14304578946275082,0.875,success,24
task_009,68.63499959309895,0.3335682335187996,0.8260869565217391,success,24
