task_id,mae,nmae,da,status,horizon
task_000,7.058482986706102,0.11465777842130138,0.5393939393939394,success,168
task_001,3.360508752909862,0.05132786661655909,0.5853658536585366,success,168
task_002,7.566652161298462,0.1206825491387531,0.6144578313253012,success,168
task_003,3.07026634607329,0.047327180869306686,0.7865853658536586,success,168
task_004,91.4436314382989,1.6814826660282844,0.07142857142857142,success,168
task_005,5.516378926056526,0.08817724470533073,0.3780487804878049,success,168
task_006,3.7177225301557333,0.060034159488082425,0.3619631901840491,success,168
task_007,8.088642591209881,0.14209148902841637,0.22424242424242424,success,168
task_008,5.260665750127195,0.09504977802385071,0.6325301204819277,success,168
task_009,9.636793598580391,0.18212018239266684,1.0,success,76
