task_id,mae,nmae,da,status,horizon
task_000,4.6550621906372935,0.5350673564205436,0.9642857142857143,success,56
task_001,8.970034752436765,0.5233736185055868,0.5178571428571429,success,56
task_002,5.354839825081156,0.3532275569145583,0.7678571428571429,success,56
task_003,8.83958509749808,0.7438531577028785,0.3392857142857143,success,56
task_004,12.833652333954088,0.6548569164459217,0.6607142857142857,success,56
task_005,13.108879512089947,0.7064405802131862,0.5535714285714286,success,56
task_006,10.92500509620073,0.358683014599651,0.6428571428571429,success,56
task_007,10.733640318469408,0.5255689039465081,0.9821428571428571,success,56
task_008,6.927258193818448,0.34664898263142063,0.8928571428571429,success,56
task_009,11.660762555460392,0.6759256157700388,0.625,success,56
