task_id,mae,nmae,da,status,horizon
task_000,1.676395,0.5698793201133145,0.625,success,24
task_001,2.61336375,0.6036643888354187,0.7083333333333334,success,24
task_002,1.0690670833333333,0.2530336291913215,0.6666666666666666,success,24
task_003,0.585528611111111,0.13831384514435693,0.8636363636363636,success,24
task_004,4.082779861111111,0.6790486255486254,1.0,success,24
task_005,1.1139251388888889,0.5749291039426523,0.041666666666666664,success,24
task_006,1.7918341666666666,0.5621440522875817,0.30434782608695654,success,24
task_007,1.0115745833333334,0.26649604829857304,0.2916666666666667,success,24
task_008,5.521394722222222,2.951302301410542,0.9166666666666666,success,24
task_009,0.9044272638888889,0.1952001288968825,0.6086956521739131,success,24
