task_id,mae,nmae,da,status,horizon
task_000,164.70436583008288,1.2158686572788657,0.125,success,24
task_001,1017.4850891035207,0.32439866397813427,0.08333333333333333,success,24
task_002,2027.2615697036438,0.31705215522227603,0.5,success,24
task_003,945.9539203020786,0.1498846510675735,0.75,success,24
task_004,1183.6541848179552,0.5524350179001326,0.4166666666666667,success,24
task_005,1677.6669524869578,0.35808951496042707,0.5833333333333334,success,24
task_006,11.061644406965215,1.4010988720719202,0.10526315789473684,success,24
task_007,545.8643343042595,0.4049971464428831,0.125,success,24
task_008,385.0451496414824,0.573235624896809,0.2916666666666667,success,24
task_009,62.439630642257356,0.38647863266515237,0.9166666666666666,success,24
