task_id,mae,nmae,da,status,horizon
task_000,0.2275305555555558,0.061218983557548644,1.0,success,6
task_001,0.7146797777777779,0.16181428930817612,1.0,success,6
task_002,1.3512799999999998,0.4053839999999999,0.0,success,6
task_003,0.8884777777777778,0.22211944444444445,0.3333333333333333,success,6
task_004,0.6263661111111111,0.17160715372907154,0.16666666666666666,success,6
task_005,0.26203888888888877,0.10768721461187208,0.8333333333333334,success,6
task_006,2.1922805555555556,0.35841099000908266,0.16666666666666666,success,6
task_007,1.2201072222222218,0.2140538986354775,1.0,success,6
task_008,0.9063883333333332,0.18435016949152538,0.8333333333333334,success,6
task_009,1.0097872222222222,0.18933510416666666,0.5,success,6
