task_id,mae,nmae,da,status,horizon
task_000,42.05053110087563,2.800582091211399,0.22388059701492538,success,67
task_001,865.0937103841661,5.235555315800155,0.046875,success,64
task_002,363.0937495306134,1.8439930145976242,1.0,success,64
task_003,621.1996211997035,3.435936069605508,0.20512820512820512,success,78
task_004,1101.6164372534784,9.80229155527839,0.0410958904109589,success,73
task_005,696.032569434664,6.246229703876441,0.13513513513513514,success,74
task_006,760.9400526033576,2.6600482503066902,0.0,success,64
task_007,900.5616477546218,3.925070170522861,0.1095890410958904,success,73
task_008,465.6367573853193,9.534266637218222,0.014705882352941176,success,68
task_009,292.88490984174905,3.958608064729313,0.15789473684210525,success,76
