task_id,mae,nmae,da,status,horizon
task_000,101.70828855721393,6.773812458581842,0.22388059701492538,success,67
task_001,978.0211197916667,5.918993065405831,0.046875,success,64
task_002,635.23525,3.2260796698936676,0.0,success,64
task_003,452.53989743589744,2.5030571550134733,0.19230769230769232,success,78
task_004,856.6937853881279,7.622945676905575,0.0410958904109589,success,73
task_005,428.88936486486483,3.8488737569730773,0.12162162162162163,success,74
task_006,469.798390625,1.6422928228097007,0.9841269841269841,success,64
task_007,541.6271278538813,2.36066513423687,0.1095890410958904,success,73
task_008,287.4232205882353,5.885208973200844,0.014705882352941176,success,68
task_009,189.6645307017544,2.563490011263264,0.15789473684210525,success,76
