task_id,mae,nmae,da,status,horizon
task_000,25.940298507462686,1.7276341948310139,0.0,success,67
task_001,571.046875,3.455981087470449,0.0,success,64
task_002,623.09375,3.164418346294239,0.0,success,64
task_003,311.38461538461536,1.7223088923556942,0.0,success,78
task_004,842.8356164383562,7.499634324719649,0.0,success,73
task_005,420.81081081081084,3.776376424933301,0.0,success,74
task_006,472.9375,1.6532663316582914,0.0,success,64
task_007,535.3835616438356,2.33345274344737,0.0,success,73
task_008,284.3382352941176,5.82204155374887,0.0,success,68
task_009,162.82894736842104,2.200782500444602,0.0,success,76
