task_id,mae,nmae,da,status,horizon
task_000,101.94029850746269,6.789264413518887,0.22388059701492538,success,67
task_001,177.078125,1.071678486997636,0.84375,success,64
task_002,585.078125,2.9713537533724805,0.796875,success,64
task_003,1023.474358974359,5.660970075166643,0.23076923076923078,success,78
task_004,1032.6027397260275,9.188200877620673,0.0410958904109589,success,73
task_005,804.972972972973,7.223866116905167,0.13513513513513514,success,74
task_006,509.390625,1.7806969630762508,0.0,success,64
task_007,978.5479452054794,4.264971043047346,0.1095890410958904,success,73
task_008,453.6617647058824,9.289069557362241,0.014705882352941176,success,68
task_009,703.7763157894736,9.512182109194379,0.15789473684210525,success,76
