task_id,mae,nmae,da,status,horizon
task_000,21.73291869042137,2.7524540821641845,0.08695652173913043,success,24
task_001,1.9816466334066225,0.742189750339559,0.25,success,24
task_002,4.3024121424042,0.9471463164346063,0.0,success,24
task_003,3.3852792690669014,0.43681022826669696,0.4166666666666667,success,24
task_004,0.4918862649821277,0.6692330135811261,0.6666666666666666,success,24
task_005,3.1739322488289896,0.5760312611304881,0.7916666666666666,success,24
task_006,2.7909568356074566,0.5128078705755548,0.9583333333333334,success,24
task_007,3.6823900560184257,0.6709486892229138,0.6666666666666666,success,24
task_008,4.404843890205532,0.9145004616343666,0.08333333333333333,success,24
task_009,2.3487013441577527,0.5598811309076884,0.782608695652174,success,24
