task_id,mae,nmae,da,status,horizon
task_000,3.507375,0.4442058047493404,0.9130434782608695,success,24
task_001,2.954211527777778,1.1064462650853102,0.20833333333333334,success,24
task_002,3.609039305555555,0.7945050755213109,0.9166666666666666,success,24
task_003,4.824047638888889,0.6224577598566308,0.4166666666666667,success,24
task_004,0.8169404166666666,1.111483560090703,0.6666666666666666,success,24
task_005,2.5505630555555556,0.46289710627142566,0.7916666666666666,success,24
task_006,4.146808472222222,0.7619308171285664,0.9583333333333334,success,24
task_007,3.1312030555555554,0.5705198400647838,0.6666666666666666,success,24
task_008,3.254950972222222,0.6757683679354094,0.9166666666666666,success,24
task_009,2.405295277777778,0.5733719374917231,0.782608695652174,success,24
