task_id,mae,nmae,da,status,horizon
task_000,20.720418690421372,3.010230318221023,0.2608695652173913,success,24
task_001,1.891741424201035,0.8714355888833945,0.20833333333333334,success,24
task_002,4.324078809070866,0.9564782619142931,0.0,success,24
task_003,4.930812817582258,0.6010132433822966,0.625,success,24
task_004,0.6881986003874786,0.912528530900524,0.4583333333333333,success,24
task_005,3.7736777530362033,0.679431853509894,0.75,success,24
task_006,3.1568634565974527,0.6169765713219778,0.8333333333333334,success,24
task_007,3.3446682005167836,0.6542138289519381,0.7083333333333334,success,24
task_008,3.921510556872198,0.7399076522400374,0.08333333333333333,success,24
task_009,1.720514574890944,0.4478562884748662,0.782608695652174,success,24
