task_id,oracle_mae,oracle_nmae,oracle_da,oracle_model
task_000,27.47843392215558,1.8300746250342186,0.22388059701492538,arima
task_001,489.449257850647,2.962151536873892,0.9375,arima
task_002,255.34301793575287,1.29677457132901,1.0,arima
task_003,311.38461538461536,1.7223088923556942,0.0,arima
task_004,1067.4409781678082,9.498194954442955,0.0410958904109589,arima
task_005,0.2519046854807909,0.10352247348525653,0.8333333333333334,ets
task_006,1.0500007466266978,0.17166224740490973,0.8333333333333334,ets
task_007,1.5999999999999996,0.28070175438596484,0.0,arima
task_008,1.0833333333333337,0.2203389830508475,0.0,arima
task_009,0.9333333333333335,0.17500000000000004,0.5,arima
task_010,361.02966775285205,0.557605338665855,0.07526881720430108,ets
task_011,237.50372830183085,0.38346141090983643,0.9444444444444444,ets
task_012,1.7038288865374247,0.005971177160422951,0.0,arima
task_013,1258.9116464035915,3.7386412250709196,0.0,arima
task_014,589.6445361370331,0.6800410648091155,0.55,arima
task_015,258.6771580237051,0.3730716696422612,0.875,arima
task_016,828.7651181094428,0.7681249628708868,0.6666666666666666,arima
task_017,3195.222900974959,0.4368225539110327,0.75,arima
task_018,596.4337994313794,0.2872733685698875,0.7083333333333334,arima
task_019,78.49531884598511,0.310321385746486,0.375,ets
task_020,2.8580178131575944,0.7915119722568921,1.0,arima
task_021,1.213649741989337,0.7090456136257082,1.0,arima
task_022,4.929595872965617,0.5498968205957464,0.9545454545454546,arima
task_023,2.1785298373538082,0.40656855440506523,0.625,arima
task_024,2.161306391772403,0.5982855063729835,0.7083333333333334,arima
task_025,2424.979773687834,0.5208178014241494,1.0,arima
task_026,296.5362497965495,0.4656762766019078,0.0,arima
task_027,30.132058836956265,0.29577481066950934,0.5217391304347826,ets
task_028,129.02013742782916,0.24849795307827477,0.4583333333333333,ets
task_029,55.916082148545605,1.1303123548044518,0.875,arima
task_030,1.8718303564312968,0.7550240093168257,0.5,arima
task_031,0.13908762360339197,0.5298576137272075,1.0,arima
task_032,1.3008351630657222,0.6463777207779986,1.0,arima
task_033,9.435207931459475,0.6872382104856674,0.7083333333333334,arima
task_034,1.8227798247377915,0.7402151572539255,0.7083333333333334,ets
task_035,1.0850610120377222,1.001594780342513,0.0,ets
task_036,248.20827170038228,0.999999751688631,1.0,ets
task_037,134.58360499376928,1.000002018529555,1.0,ets
task_038,4.752118201992765,1.0004459372616348,1.0,ets
task_039,86.16662313517236,0.9999994947989055,1.0,ets
task_040,198.31132664903998,0.6692170753060968,1.0,arima
task_041,223.02347350120544,0.9515668202718099,1.0,arima
task_042,334.0103638966878,0.8857733407204981,1.0,arima
task_043,48.50110332822697,1.0000227490356075,0.0,ets
task_044,342.10193570454913,0.9830515393808883,1.0,arima
task_045,3.0115285084866446,0.4805630598648902,0.4782608695652174,arima
task_046,2.6956552199581427,0.44710245527985787,0.875,arima
task_047,2.286320114545695,0.7578961705676336,0.6956521739130435,arima
task_048,2.4401858202403566,0.7194651067047734,0.7083333333333334,arima
task_049,1.9968561352328837,0.5705303243522525,0.7391304347826086,ets
