task_id,mae,nmae,da,status,horizon
task_000,95.10835194119399,0.7021019970414413,0.8333333333333334,success,24
task_001,633.8774502146318,0.20209534289752312,0.08333333333333333,success,24
task_002,4755.067125259199,0.7436653971151889,0.5,success,24
task_003,4603.206982475699,0.729369642170161,0.25,success,24
task_004,1174.7604348179557,0.5482841273752916,0.4583333333333333,success,24
task_005,1584.8311287132303,0.3382741785154874,0.5833333333333334,success,24
task_006,12.430956906965216,1.5745398297342306,0.15,success,24
task_007,426.38940374870407,0.3163542311512401,0.5833333333333334,success,24
task_008,295.6548510303712,0.440155897151208,0.5833333333333334,success,24
task_009,45.84570008670181,0.28376823022226333,0.9166666666666666,success,24
