task_id,mae,nmae,da,status,horizon
task_000,0.6125,1.6333333333333335,0.8333333333333334,success,24
task_001,0.5375,0.4147909967845659,0.0,success,24
task_002,0.7624999999999998,0.8551401869158877,0.08333333333333333,success,24
task_003,0.04583333333333334,0.3793103448275862,1.0,success,24
task_004,2.3375,0.7391304347826086,0.391304347826087,success,24
task_005,3.4416666666666664,0.7047781569965871,0.8333333333333334,success,24
task_006,12.137500000000001,1.1992589543021823,0.375,success,24
task_007,1.5875000000000001,0.2988235294117647,0.7083333333333334,success,24
task_008,0.8208333333333334,0.4987341772151899,0.08695652173913043,success,24
task_009,0.45416666666666666,0.7841726618705035,0.7777777777777778,success,24
