task_id,mae,nmae,da,status,horizon
task_000,70.62318068271215,0.2798250573266608,1.0,success,24
task_001,415.45549587673617,0.12499171862150824,0.8333333333333334,success,24
task_002,5587.352651909721,0.8291464561477239,0.375,success,24
task_003,1312.5595963541666,0.24440398653778253,0.5416666666666666,success,24
task_004,1160.555150282118,0.42974053695055553,0.9583333333333334,success,24
task_005,1553.169039171007,0.2680216483940188,0.6666666666666666,success,24
task_006,7.39962638888889,0.49815156615240774,0.4090909090909091,success,24
task_007,622.7211111111111,0.4028846071764735,0.375,success,24
task_008,449.5691197102865,0.5649666138041128,0.5833333333333334,success,24
task_009,56.82158292643229,0.2761546609583977,0.8695652173913043,success,24
