task_id,mae,nmae,da,status,horizon
task_000,66.7517223493788,0.264485461466063,1.0,success,24
task_001,492.3673014322915,0.14813099311439967,0.7916666666666666,success,24
task_002,5136.617513020833,0.762258706912272,0.4166666666666667,success,24
task_003,1544.7294574652778,0.28763496802395033,0.4166666666666667,success,24
task_004,1158.0657058376735,0.428818723633882,0.9583333333333334,success,24
task_005,1394.508761393229,0.2406425363256054,0.6666666666666666,success,24
task_006,7.4385,0.5007685834502105,0.4090909090909091,success,24
task_007,674.5731944444445,0.43643157684281,0.08333333333333333,success,24
task_008,442.74887665473096,0.5563957190173416,0.625,success,24
task_009,56.14265237087674,0.27285503733428135,0.8695652173913043,success,24
