task_id,mae,nmae,da,status,horizon
task_000,131.2334758609626,0.5199767916281361,0.0,success,24
task_001,527.3583817331978,0.15865822240042435,0.25,success,24
task_002,3095.7833979369952,0.4594050158124676,0.20833333333333334,success,24
task_003,1343.8800347876042,0.25023598078361015,0.375,success,24
task_004,1271.7049021150526,0.4708980416352705,0.041666666666666664,success,24
task_005,1376.7599620728697,0.23757972581954717,0.5,success,24
task_006,6.818500152319188,0.459029463269735,0.5909090909090909,success,24
task_007,629.8964347549278,0.40752685776991343,0.08333333333333333,success,24
task_008,458.33677611031425,0.5759847930565352,0.25,success,24
task_009,86.5804036620304,0.42078345564369957,0.13043478260869565,success,24
