task_id,mae,nmae,da,status,horizon
task_000,79.60714986048481,0.38824295938895226,0.7083333333333334,success,24
task_001,725.9349949769721,0.1988254064460102,0.125,success,24
task_002,2181.0564994552183,0.31096746862166985,0.4166666666666667,success,24
task_003,1879.8389341194045,0.2547091973140622,0.7083333333333334,success,24
task_004,1842.2897538224272,0.5227154568061592,0.125,success,24
task_005,1720.8018654459447,0.2905660902326513,0.4583333333333333,success,24
task_006,4.3466982284575435,0.3485649949266888,0.08333333333333333,success,24
task_007,747.3170213102184,0.39818674011090477,0.2916666666666667,success,24
task_008,503.03231955344717,0.5175601833129292,0.375,success,24
task_009,140.3974228500749,0.5664309659640997,0.0,success,24
