task_id,mae,nmae,da,status,horizon
task_000,3.7496531636855126,0.43099682101399883,0.9821428571428571,success,56
task_001,15.187496243662777,0.8861431515554019,0.3392857142857143,success,56
task_002,7.131003460152617,0.47039071435545615,0.3392857142857143,success,56
task_003,10.055462094517603,0.8461694919692065,0.35714285714285715,success,56
task_004,12.404176775804219,0.6329422632840294,0.6785714285714286,success,56
task_005,14.077986285956644,0.758665970719485,0.21428571428571427,success,56
task_006,10.94920331169011,0.35947747545374087,0.75,success,56
task_007,12.63930119702208,0.6188789152304979,0.9821428571428571,success,56
task_008,8.845736453040965,0.4426521224239338,0.8928571428571429,success,56
task_009,16.185342987204297,0.9381966121891765,0.26785714285714285,success,56
