task_id,mae,nmae,da,status,horizon
task_000,0.36086762242872006,1.2425418551436411,0.0,success,32
task_001,0.26571393950217836,0.7186315162053515,0.0,success,32
task_002,0.4344453266501512,0.8492104828566743,0.0,success,32
task_003,0.32760925936590335,0.7133001799908059,0.0,success,32
task_004,0.2749158582174953,0.510318368526666,0.0,success,32
task_005,0.345472792624026,1.0962587874289493,0.0,success,32
task_006,0.24769742653335108,0.15631069826774457,0.0,success,32
task_007,0.1718853062680823,0.998175156358977,0.0,success,32
task_008,0.5908760520770349,1.5803400572608401,0.0,success,32
task_009,0.276802505077704,0.22953840231998981,0.0,success,32
