task_id,mae,nmae,da,status,horizon
task_000,18373.347364102563,0.583448483548753,0.38461538461538464,success,13
task_001,37824.33735757576,0.4716693282535026,1.0,success,11
task_002,7010.881125925927,0.22641924371461286,1.0,success,27
task_003,29174.682911111115,2.453100833406752,0.8888888888888888,success,18
task_004,27265.58003333333,0.44657489571899556,0.25,success,12
task_005,18979.286904761906,0.3002073314185906,0.42857142857142855,success,14
task_006,11789.609676190477,0.26308324018056983,0.5714285714285714,success,7
task_007,41934.481631372546,3.117131245609514,0.29411764705882354,success,17
task_008,6918.637066666667,0.15347111140782121,0.9565217391304348,success,23
task_009,32719.64394444445,3.948518094226094,0.0,success,12
