task_id,mae,nmae,da,status,horizon
task_000,8036.705966068097,0.2552068393259096,0.38461538461538464,success,13
task_001,35259.18898195206,0.439681938765008,1.0,success,11
task_002,6738.076232810935,0.21760889926984314,1.0,success,27
task_003,20097.217321233904,1.6898384366364276,1.0,success,18
task_004,14269.284454390121,0.23371240257546472,0.08333333333333333,success,12
task_005,23274.262702533237,0.36814366797467357,0.42857142857142855,success,14
task_006,12270.51703516835,0.2738146104041395,0.42857142857142855,success,7
task_007,16863.36773707212,1.2535109159452464,0.7058823529411765,success,17
task_008,11148.09633734005,0.2472901408885925,0.9565217391304348,success,23
task_009,29928.18578940986,3.6116524775603436,0.0,success,12
