task_id,mae,nmae,da,status,horizon
task_000,0.7500722638888888,2.0001927037037035,1.0,success,24
task_001,997.5034722222222,2394.008333333333,1.0,success,24
task_002,121.35833247222224,1.0022711559990827,0.45454545454545453,success,24
task_003,350.9768518888889,1.042634539588233,0.35714285714285715,success,24
task_004,1093.7189583333334,4.369050432756325,1.0,success,24
task_005,1215.8490743055556,6.056533371385084,1.0,success,24
task_006,151.6764450972222,1.0039257259606542,1.0,success,24
task_007,57.81893490277778,1.001193677970178,0.875,success,24
task_008,204.37500104166668,1.0004079186212524,1.0,success,24
task_009,858.6213194444445,4.269092949381949,1.0,success,24
