task_id,mae,nmae,da,status,horizon
task_000,0.846722119861111,2.2579256529629625,1.0,success,24
task_001,1129.8038194444443,2711.5291666666662,1.0,success,24
task_002,120.62665916666667,0.9962284308327599,1.0,success,24
task_003,384.25197284722225,1.1414837663489708,0.8571428571428571,success,24
task_004,1326.3655069444444,5.298397497780736,1.0,success,24
task_005,791.333148611111,3.9418836792583365,1.0,success,24
task_006,151.5036248611111,1.0027818523625665,1.0,success,24
task_007,57.75,1.0,0.0,success,24
task_008,204.29166666666666,1.0,0.0,success,24
task_009,817.2821875,4.06355344934742,1.0,success,24
