task_id,mae,nmae,da,status,horizon
task_000,0.3803037198222093,1.0141432528592247,0.0,success,24
task_001,1.394609415684411,3.3470625976425863,1.0,success,24
task_002,121.0833556781726,1.0000001845409987,1.0,success,24
task_003,336.6100294032349,0.9999555273768581,1.0,success,24
task_004,250.33302891900203,0.9999987839640561,1.0,success,24
task_005,200.74995138334359,0.9999997578248746,1.0,success,24
task_006,151.08439074882966,1.0000069988891096,0.0,success,24
task_007,57.752155230939074,1.000037320016261,1.0,success,24
task_008,204.2920701693827,1.00000197513057,0.0,success,24
task_009,201.12548300272556,1.0000024015051612,0.0,success,24
