seed,accuracy,precision,recall,f1,roc_auc,selector_nmae,oracle_captured
42,0.7083333333333334,0.6,0.375,0.46153846153846156,0.6953125,0.723788643706915,83.33819539961324
123,0.6666666666666666,0.5,0.625,0.5555555555555556,0.703125,0.7110615835302971,91.76736757480354
456,0.7916666666666666,0.7142857142857143,0.625,0.6666666666666666,0.765625,0.7288141009598861,80.009819179457
789,0.8333333333333334,0.75,0.75,0.75,0.8515625,0.7017062745704977,97.96341826364421
1011,0.75,0.75,0.375,0.5,0.8046875,0.7069573240792243,94.48563157958164
mean ± std,0.750 ± 0.066,0.663 ± 0.110,0.550 ± 0.168,0.587 ± 0.120,0.764 ± 0.067,0.714 ± 0.011,89.5% ± 7.6%
