Policy,Mean NMAE,LLM Usage (%),vs Baseline (%),Oracle Captured (%)
Always-Baseline,0.8496195326503678,0.0,0.0,0.0
Always-LLM,0.8463444947665822,100.0,-0.38547111476700385,2.169067940247272
XGBoost Selector,0.7069573240792243,30.833333333333336,-16.791305177049328,94.48563157958164
Oracle,0.6986312752972013,34.166666666666664,-17.771278972619932,100.0
