task_id,mae,nmae,da,status,horizon
task_000,0.28695507769418654,0.9880456777511262,0.78125,success,32
task_001,0.1337061301227753,0.3616123384271765,0.96875,success,32
task_002,0.4367636018110753,0.853742016396195,0.09375,success,32
task_003,0.3406235804199244,0.7416361237558239,0.0625,success,32
task_004,0.16357926379174687,0.3036474634975605,0.9375,success,32
task_005,0.30720200147625126,0.974817412034549,0.65625,success,32
task_006,0.3804734029409652,0.24009964139857462,0.59375,success,32
task_007,0.17211085566771767,0.9994849705143336,0.53125,success,32
task_008,0.35997075454502425,0.9627674041792851,1.0,success,32
task_009,0.27586740138272803,0.22876296783435157,0.5625,success,32
